epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,138.146,0.66541,0.73807,1.12375,0.77747,0.5,0.51196,0.27927,1.7571,1.90141,1.4379,2.87529e-05,2.87529e-05,2.87529e-05
63,139.945,1.25663,1.74944,1.69879,0.77927,0.49776,0.51258,0.27915,1.74355,1.94034,1.43677,2.84938e-05,2.84938e-05,2.84938e-05
64,142.286,0.78897,0.92104,1.13929,0.77927,0.49776,0.51258,0.27915,1.74355,1.94034,1.43677,2.82112e-05,2.82112e-05,2.82112e-05
65,144.516,0.83267,0.70446,1.13202,0.77927,0.49776,0.51258,0.27915,1.74355,1.94034,1.43677,2.7905e-05,2.7905e-05,2.7905e-05
66,147.018,0.70916,0.6834,1.15294,0.76872,0.5,0.5097,0.27565,1.77297,2.02431,1.45816,2.75753e-05,2.75753e-05,2.75753e-05
67,149.55,0.66908,0.57481,1.03386,0.76872,0.5,0.5097,0.27565,1.77297,2.02431,1.45816,2.7222e-05,2.7222e-05,2.7222e-05
68,151.773,0.91637,1.01079,1.26325,0.76872,0.5,0.5097,0.27565,1.77297,2.02431,1.45816,2.68451e-05,2.68451e-05,2.68451e-05
69,156.959,0.73007,0.74499,1.15097,0.813,0.5,0.51061,0.27072,1.77604,2.0487,1.45984,2.64447e-05,2.64447e-05,2.64447e-05
70,241.895,1.05099,1.27369,1.46164,0.813,0.5,0.51061,0.27072,1.77604,2.0487,1.45984,2.60207e-05,2.60207e-05,2.60207e-05
71,248.515,0.63039,0.65974,1.02259,0.813,0.5,0.51061,0.27072,1.77604,2.0487,1.45984,2.55731e-05,2.55731e-05,2.55731e-05
72,255.441,0.79763,0.59609,1.04027,0.80541,0.5,0.51242,0.28735,1.80593,2.08485,1.47634,2.5102e-05,2.5102e-05,2.5102e-05
73,258.853,0.73789,0.86935,1.1355,0.80541,0.5,0.51242,0.28735,1.80593,2.08485,1.47634,2.46073e-05,2.46073e-05,2.46073e-05
74,263.596,0.78335,0.74968,1.16466,0.80541,0.5,0.51242,0.28735,1.80593,2.08485,1.47634,2.40891e-05,2.40891e-05,2.40891e-05
